Company / Exhibitor,Booth
OLDK Health Delivery,A16
Omega Grit x Twilio,22
OpenIQ,Not shown
OpenText,B5-02
Optiqb AI Technology Ltd.,C2-09
Osome,18
"PACKWORKS CO., LTD.",D3-05
PEOPLESIDER,A80
PERCEPTRА,A47
Placid (Thailand) Ltd.,A56
"PlayCurio Co., Ltd",C8-04
Playtorium Solutions Publi...,10
PLOOK,A65
Pontosense – Represented...,B8-03
Portonics Ltd,A51
PRIMO,C5-01
"Prior Solution Co., Ltd.",A67
Prosci,34
Quick Transformation,32
READY IDC,29
RealSmart,37
Rich Trees Consultancy Sd...,C3-02
rudi (Datability),C5-05
SABLE: WIN WITH AI,C5-03
Safira AI,A66
SALES TOOLS,A33
Sasin School of...,A1
SCBX,D4
Setsail,B9-02
SEVEN PEAKS,36
SFETNIC.AI,A64
SHIPNITY,A12
SIRISOFT,19
Six Network,14
SM Tech Global,21
"SMART FINDER CO., LTD.",D3-08
SmartOptz Technology Sdn...,C3-01
SMRJ (Japan Zone),Not shown
So Idea,Not shown
